,highway,osm_id,length,area,geometry
400,motorway,344772499,40.61,,"MultiLineString ((910222.72965268709231168 7011926.65244172420352697, 910260.56714760779868811 7011911.91225295979529619))"
399,motorway,344772486,41.04,,"MultiLineString ((910267.2351851062849164 7011932.25891865883022547, 910228.86335662973579019 7011946.81349971424788237))"
147,motorway,29066670,346.07,,"MultiLineString ((910589.90586111973971128 7011807.15373709332197905, 910267.2351851062849164 7011932.25891865883022547))"
187,motorway,34747911,678.64,,"MultiLineString ((909505.8321319785900414 7012169.79523203894495964, 909584.73538705275859684 7012152.25127625558525324, 909661.42338426026981324 7012130.88297593034803867, 909757.92625082901213318 7012099.91667886544018984, 909869.85799882165156305 7012062.21147599630057812, 910039.21947211446240544 7011997.16067385673522949, 910148.89143444388173521 7011955.52027072571218014))"
357,motorway,327430993,325.72,,"MultiLineString ((908868.88426955766044557 7012272.90620344132184982, 909191.04287591332104057 7012224.87793465424329042))"
358,motorway,327430996,46.34,,"MultiLineString ((909535.09802610799670219 7012184.09033567178994417, 909489.73533360986039042 7012193.55853531323373318))"
401,motorway,344772507,733.91,,"MultiLineString ((910228.86335662973579019 7011946.81349971424788237, 910146.48693344288039953 7011977.50073283165693283, 910047.07862816436681896 7012015.55826411023736, 909874.38870209688320756 7012081.83449629507958889, 909762.18978732649702579 7012120.72794798482209444, 909657.41588259162381291 7012152.71540157310664654, 909591.0026743842754513 7012170.6677895775064826, 909535.09802610799670219 7012184.09033567178994417))"
361,motorway,327431010,1205.11,,"MultiLineString ((909097.2228090725839138 7012259.42781197838485241, 907905.11351411661598831 7012435.96684169210493565))"
360,motorway,327431006,344.09,,"MultiLineString ((908528.44700281333643943 7012322.90269483998417854, 908868.88426955766044557 7012272.90620344132184982))"
359,motorway,327431002,165.11,,"MultiLineString ((909191.04287591332104057 7012224.87793465424329042, 909354.14819382352288812 7012199.22089537512511015))"
355,motorway_link,308931809,64.63,,"MultiLineString ((909353.84763119835406542 7012361.48170949704945087, 909375.08739004167728126 7012370.28176113311201334, 909384.91690107877366245 7012373.66068649385124445, 909414.18279520841315389 7012384.59578993264585733))"
298,motorway_link,191528231,60.02,,"MultiLineString ((909414.18279520841315389 7012384.59578993264585733, 909381.6218441512901336 7012387.21353338938206434, 909368.2412413579877466 7012388.29033591132611036, 909361.96282207733020186 7012390.09119562525302172, 909357.26513956591952592 7012395.8093920610845089))"
354,motorway_link,308931808,51.14,,"MultiLineString ((909414.18279520841315389 7012384.59578993264585733, 909441.25569536921102554 7012390.29541685804724693, 909464.71071207954082638 7012391.13086739741265774))"
403,motorway_link,344772523,41.41,,"MultiLineString ((910272.8011596460128203 7011949.26401852164417505, 910234.03971295163501054 7011963.83719520457088947))"
351,motorway_link,308931803,329.05,,"MultiLineString ((909357.85513286700006574 7012124.47806648910045624, 909164.43751761363819242 7012046.72844583541154861, 909134.11408832157030702 7012041.02906460780650377, 909108.12098722124937922 7012041.51174820028245449, 909085.11124847433529794 7012052.11222988832741976, 909068.82520697126165032 7012063.65953071694821119, 909056.34629205334931612 7012077.23041528929024935))"
415,motorway_link,476940337,138.88,,"MultiLineString ((910844.11505029525142163 7011710.36054282076656818, 910724.34641015087254345 7011780.66265588346868753))"
414,motorway_link,476940336,119.06,,"MultiLineString ((910724.34641015087254345 7011780.66265588346868753, 910621.18663803255185485 7011840.1052749315276742))"
404,motorway_link,344772526,692.51,,"MultiLineString ((910234.03971295163501054 7011963.83719520457088947, 910155.3145690627861768 7011993.0021931454539299, 909878.7858219831250608 7012098.30153357703238726, 909783.87482413277029991 7012132.62808257900178432, 909757.74813964369241148 7012145.51217969693243504, 909735.79593605920672417 7012165.04257988277822733, 909720.45611022796947509 7012188.54595763050019741, 909709.92528639873489738 7012216.59786808677017689, 909695.3869609012035653 7012283.061425288207829, 909683.74294216430280358 7012307.58624658454209566))"
