,building,geometry,osm_id,area,category
444,shop,"MultiPolygon (((909634.85142180789262056 7011999.22135037370026112, 909553.30989480181597173 7011965.15528001543134451, 909549.22446948965080082 7011974.95738233905285597, 909532.07013595849275589 7012016.00381677132099867, 909635.33009561826474965 7012059.12971939332783222, 909652.87404736736789346 7012017.13626323733478785, 909631.15561471343971789 7012008.07669604849070311, 909634.85142180789262056 7011999.22135037370026112)))",239913374,5940.09,commercial
310,shop,"MultiPolygon (((908183.75733152125030756 7013606.33997700642794371, 908284.59052628185600042 7013547.05129702296108007, 908247.0535939863184467 7013483.19530106149613857, 908146.22039922571275383 7013542.50207421649247408, 908183.75733152125030756 7013606.33997700642794371)))",108566846,8663.75,commercial
42,supermarket,"MultiPolygon (((910112.71259993617422879 7012680.33197667077183723, 910167.54858110100030899 7012592.84832302667200565, 910149.6484069813741371 7012581.83866979274898767, 910154.92495084495749325 7012573.24261047225445509, 910147.51107275811955333 7012568.67537753935903311, 910151.64102586649823934 7012561.95449481997638941, 910142.83565414475742728 7012556.5332344314083457, 910127.86318263306748122 7012580.14916279911994934, 910090.23719474510289729 7012642.15987388230860233, 910083.84745597327128053 7012638.31668105348944664, 910078.59317600808572024 7012646.93137672916054726, 910073.66172256588470191 7012653.44810313824564219, 910075.76566094195004553 7012657.62549466267228127, 910112.71259993617422879 7012680.33197667077183723)))",88382581,4536.57,commercial
409,yes,"MultiPolygon (((909688.84137484256643802 7011674.27224188111722469, 909702.87876263167709112 7011681.1223234748467803, 909725.32077197544276714 7011635.12107551191002131, 909709.23510555597022176 7011627.28715256135910749, 909705.65061795245856047 7011634.6384165296331048, 909697.01222546666394919 7011630.42443357594311237, 909684.47765080351382494 7011656.11676955409348011, 909695.15318997052963823 7011661.33321493305265903, 909688.84137484256643802 7011674.27224188111722469)))",165585672,1157.67,commercial
436,yes,"MultiPolygon (((909381.82221923465840518 7012800.73496763128787279, 909376.47888367669656873 7012809.72116974368691444, 909490.53683394356630743 7012877.5264759873971343, 909520.04763095290400088 7012827.8792702229693532, 909504.39611054724082351 7012818.57741603348404169, 909524.51154253352433443 7012784.74920751433819532, 909426.1051126723177731 7012726.24642619024962187, 909381.82221923465840518 7012800.73496763128787279)))",237651802,12168.95,commercial
435,yes,"MultiPolygon (((909381.82221923465840518 7012800.73496763128787279, 909426.1051126723177731 7012726.24642619024962187, 909388.37893724243622273 7012703.81830781325697899, 909344.09604380500968546 7012778.30663962475955486, 909381.82221923465840518 7012800.73496763128787279)))",237651801,3803.35,commercial
429,yes,"MultiPolygon (((909629.43016260606236756 7013005.04360360559076071, 909666.04314312827773392 7012943.79130992572754622, 909637.81252026290167123 7012926.91405559796839952, 909625.03304271993692964 7012948.28449036926031113, 909636.03140841028653085 7012954.85716384556144476, 909620.32422825926914811 7012981.14791196212172508, 909614.1459965204121545 7012977.45309113431721926, 909617.49671319336630404 7012971.86444579716771841, 909605.02893022424541414 7012964.41911375522613525, 909593.37377953820396215 7012983.93295392207801342, 909597.77089942456223071 7012986.55089424923062325, 909602.31273464905098081 7012978.95701297372579575, 909610.13849485164973885 7012983.63588272966444492, 909611.63017602835316211 7012994.38615341298282146, 909629.43016260606236756 7013005.04360360559076071)))",201377962,2085.88,commercial
428,yes,"MultiPolygon (((910263.16089174314402044 7012393.24734249990433455, 910270.65269347361754626 7012372.69527910370379686, 910259.69885557959787548 7012368.70369208697229624, 910252.20705384924076498 7012389.23717962671071291, 910263.16089174314402044 7012393.24734249990433455)))",201377961,255.0,commercial
427,yes,"MultiPolygon (((909487.57573548844084144 7011952.19721627421677113, 909502.88216547237243503 7011911.03972374927252531, 909499.89880311908200383 7011905.24761737044900656, 909444.9737663617124781 7011885.73641820065677166, 909436.82517963577993214 7011870.47650313097983599, 909447.1556283812969923 7011864.81437662523239851, 909449.17051116470247507 7011857.46290034987032413, 909442.80303629126865417 7011855.84780419431626797, 909431.79353865177836269 7011861.06438030488789082, 909423.06609057367313653 7011844.70921895280480385, 909429.64507247961591929 7011818.84919689781963825, 909426.65057817718479782 7011813.09428596217185259, 909382.51240007765591145 7011802.32704439852386713, 909377.89264120964799076 7011805.09311023727059364, 909353.22424204985145479 7011905.78598605841398239, 909356.20760440325830132 7011910.77982145547866821, 909479.80563503096345812 7011955.59452894143760204, 909487.57573548844084144 7011952.19721627421677113)))",201377960,11583.4,commercial
426,yes,"MultiPolygon (((909890.91964647953864187 7012169.18258531112223864, 909884.65235914790537208 7012156.92966068722307682, 909871.80608991044573486 7012163.79872217029333115, 909866.44049045431893319 7012162.01647862140089273, 909860.7631964236497879 7012168.58850368112325668, 909850.00973361311480403 7012167.08473476115614176, 909847.02637125982437283 7012171.55891226883977652, 909838.96684012631885707 7012169.7766669848933816, 909835.98347777326125652 7012174.84492805413901806, 909829.115065191173926 7012174.54788702726364136, 909825.83114021283108741 7012179.63471620064228773, 909818.96272763062734157 7012179.33767499309033155, 909816.26879595371428877 7012185.00002495385706425, 909809.70094599691219628 7012185.00002495385706425, 909805.5264650919707492 7012190.68094403669238091, 909802.24254011386074126 7012189.17717094253748655, 909796.56524608319159597 7012196.64034389518201351, 909787.24780470388941467 7012191.46067834086716175, 909775.90434859204106033 7012206.98111996054649353, 909784.03067142004147172 7012212.17936075385659933, 909766.10823340225033462 7012240.84400658216327429, 909770.29384625609964132 7012242.92331132385879755, 909761.33262724720407277 7012258.46241842024028301, 909765.51824010093696415 7012259.94763932377099991, 909758.04870226874481887 7012273.68594579119235277, 909761.63318987225648016 7012276.06230390816926956, 909754.16365204018075019 7012288.9095022464171052, 909758.6498275191988796 7012291.60147561691701412, 909750.59029638569336385 7012305.02422538865357637, 909771.18440218234900385 7012317.87147040944546461, 909791.78963992814533412 7012282.63442301191389561, 909789.39627087616827339 7012277.86313826777040958, 909796.56524608319159597 7012276.37791402544826269, 909801.94197748845908791 7012268.00496754143387079, 909799.54860843648202717 7012261.72990477178245783, 909807.90870219503995031 7012260.54172775894403458, 909811.19262717349920422 7012256.06750029791146517, 909808.81039007043000311 7012249.19835928920656443, 909813.58599622547626495 7012248.90131548885256052, 909816.86992120393551886 7012244.13005093485116959, 909816.26879595371428877 7012237.85500695928931236, 909817.47104645427316427 7012232.76814062055200338, 909822.54721523460466415 7012231.57996792998164892, 909827.02225876424927264 7012225.00789092574268579, 909824.92945233744103462 7012218.4358193427324295, 909827.32282138930168003 7012213.96161551866680384, 909832.98898347071371973 7012215.16835074126720428, 909837.17459632467944175 7012208.5962872700765729, 909834.49179659644141793 7012202.91535541601479053, 909837.47515894973184913 7012197.84707650076597929, 909843.14132103126030415 7012198.14411839749664068, 909850.31029623828362674 7012186.80083873402327299, 909855.98759026860352606 7012187.39492172095924616, 909859.86150854814331979 7012182.92073532287031412, 909863.15656547574326396 7012184.10890075843781233, 909890.91964647953864187 7012169.18258531112223864)))",201377957,6394.26,commercial
