,building,geometry,osm_id,area,category
85,house,"MultiPolygon (((907982.71433114865794778 7012226.715887819416821, 908002.2063739865552634 7012196.38043228350579739, 908030.14756617567036301 7012214.33291864208877087, 908045.54305175237823278 7012190.38390241749584675, 907989.58274373051244766 7012154.42338297329843044, 907954.69521531590726227 7012208.70767813362181187, 907982.71433114865794778 7012226.715887819416821)))",97828818,3094.78,agricultural
88,yes,"MultiPolygon (((908037.13843019749037921 7011736.07170052360743284, 908043.22760634392034262 7011721.12766013480722904, 908021.36445835209451616 7011712.21694131754338741, 908015.27528220578096807 7011727.14240097254514694, 908037.13843019749037921 7011736.07170052360743284)))",97828885,380.84,agricultural
83,yes,"MultiPolygon (((908047.51340673922095448 7011674.10516679752618074, 908045.14230158540885895 7011652.03272216953337193, 908031.5947195558110252 7011653.48070236667990685, 908033.96582470973953605 7011675.5717149069532752, 908047.51340673922095448 7011674.10516679752618074)))",97828799,302.61,agricultural
82,yes,"MultiPolygon (((907969.50070759153459221 7012270.82689087558537722, 907951.74524880992248654 7012260.11472669430077076, 907966.09433117310982198 7012236.35122496541589499, 907927.02118990453891456 7012212.77344562672078609, 907898.05585840018466115 7012260.76451094076037407, 907954.88445845036767423 7012295.05462900269776583, 907969.50070759153459221 7012270.82689087558537722)))",97828762,3144.66,agricultural
80,yes,"MultiPolygon (((907980.58812887431122363 7012249.7738816887140274, 908026.19572425249498338 7012280.96354476362466812, 908042.10327948676422238 7012257.70124281756579876, 907996.49568410869687796 7012226.51167078129947186, 907980.58812887431122363 7012249.7738816887140274)))",97828707,1557.09,agricultural
