,building,geometry,osm_id,area,category
557,commercial,"MultiPolygon (((910046.65561409923247993 7011832.02981502655893564, 910078.30374533194117248 7011827.25880003627389669, 910062.36279425024986267 7011743.31168046966195107, 910033.39746274589560926 7011749.01084880530834198, 910046.65561409923247993 7011832.02981502655893564)))",845796878,2606.53,industrial
404,yes,"MultiPolygon (((909995.49317613081075251 7011793.26772138848900795, 910006.55833351565524936 7011852.72899875696748495, 910041.73529260628856719 7011846.17579845432192087, 910030.67013522144407034 7011786.71456997282803059, 909995.49317613081075251 7011793.26772138848900795)))",132199771,2164.18,industrial
556,yes,"MultiPolygon (((910130.2565516852773726 7011850.55697426199913025, 910175.64150808157864958 7011840.99636066239327192, 910181.69728838070295751 7011824.28851976618170738, 910175.36320935457479209 7011785.22943725343793631, 910165.96784433152060956 7011782.29630095325410366, 910104.16326304327230901 7011796.01521990075707436, 910106.96851421112660319 7011819.49894516821950674, 910126.67206408176571131 7011817.69821437913924456, 910130.2565516852773726 7011850.55697426199913025)))",845796877,3578.43,industrial
