,building,geometry,osm_id,area,category
497,university,"MultiPolygon (((908735.97992949932813644 7011507.29172154143452644, 908740.24346599681302905 7011502.63228192552924156, 908739.30838227411732078 7011501.77836101595312357, 908741.06723022868391126 7011499.86632105614989996, 908745.86510028201155365 7011504.24730650521814823, 908749.33826839446555823 7011500.46035283710807562, 908749.77241440874058753 7011500.85018622037023306, 908765.71336549031548202 7011483.53046434372663498, 908765.24582362896762788 7011483.10350489988923073, 908770.85632596490904689 7011476.9775675917044282, 908769.20879750116728246 7011475.4739291537553072, 908772.13650010898709297 7011472.28101884201169014, 908773.78402857296168804 7011473.78465667739510536, 908787.79915246355812997 7011458.48840354196727276, 908777.246064736507833 7011448.79831662029027939, 908766.12524760607630014 7011438.6255943663418293, 908756.74101453239563853 7011448.85400674119591713, 908748.83733068604487926 7011441.61429426539689302, 908727.8981344677740708 7011464.4658193551003933, 908726.5177727818954736 7011463.2035075668245554, 908708.87363349134102464 7011482.45378404762595892, 908735.97992949932813644 7011507.29172154143452644)))",307715584,2703.5,educational
417,university,"MultiPolygon (((909248.8288235841318965 7011305.04484768863767385, 909267.14087981963530183 7011319.39408960938453674, 909309.17511954321525991 7011265.67273961752653122, 909290.85193135833833367 7011251.3421573294326663, 909248.8288235841318965 7011305.04484768863767385)))",186113276,1586.56,educational
479,university,"MultiPolygon (((908887.76405519607942551 7011114.14484272710978985, 908907.79043158970307559 7011111.13770303037017584, 908904.16141618997789919 7011087.00637619290500879, 908884.12390784709714353 7011090.03206932172179222, 908887.76405519607942551 7011114.14484272710978985)))",250931939,494.17,educational
425,university,"MultiPolygon (((908630.84980239428114146 7011330.25349426176398993, 908621.20953449141234159 7011320.41505864448845387, 908613.22792700177524239 7011312.28443611320108175, 908609.0311821986688301 7011307.99637140892446041, 908605.75838916946668178 7011304.65502388682216406, 908581.39055263483896852 7011329.0840192036703229, 908538.71065986470784992 7011371.90919395908713341, 908530.47301754599902779 7011380.16981980763375759, 908521.22236786095891148 7011389.45143210049718618, 908546.92603828501887619 7011414.73459881357848644, 908630.84980239428114146 7011330.25349426176398993)))",192997679,4292.95,educational
423,university,"MultiPolygon (((909013.07640598202124238 7011393.18264328967779875, 909021.71479846758302301 7011399.77259766403585672, 909046.36093372921459377 7011367.47259169816970825, 909037.72254124376922846 7011360.88266402948647738, 909013.07640598202124238 7011393.18264328967779875)))",186255318,441.44,educational
422,university,"MultiPolygon (((909031.17695518489927053 7011404.4134138785302639, 909039.99345885566435754 7011411.17044710926711559, 909064.22771200153511018 7011379.52010735124349594, 909055.41120833065360785 7011372.76310095377266407, 909031.17695518489927053 7011404.4134138785302639)))",186255317,442.8,educational
510,university,"MultiPolygon (((908482.51658091216813773 7011453.95893615577369928, 908522.45801420870702714 7011413.97350378520786762, 908509.44476573495194316 7011400.97920962143689394, 908494.86191244109068066 7011415.58851039689034224, 908492.63552262540906668 7011413.36091515608131886, 908484.40901225572451949 7011421.60302066244184971, 908486.7133257151581347 7011423.90487146656960249, 908469.58125608193222433 7011441.03883022163063288, 908482.51658091216813773 7011453.95893615577369928)))",340248472,1073.06,educational
466,university,"MultiPolygon (((908934.17315090773627162 7011218.44874206744134426, 908947.6650731919799 7011201.16675943415611982, 908975.27230690862052143 7011197.75120553839951754, 908974.55986216745804995 7011192.01530582550913095, 908983.06467126414645463 7011191.01291600987315178, 908985.04615820036269724 7011193.77876969892531633, 909015.3250596959842369 7011187.33748775720596313, 909016.90579646523110569 7011187.00335799809545279, 909022.03762499103322625 7011187.28179946355521679, 909020.23424924002029002 7011183.66206119861453772, 909019.5106725498335436 7011181.1004012655466795, 909019.59972814260981977 7011178.6315558785572648, 909020.7463188978144899 7011174.90044512879103422, 909015.9484488443704322 7011176.71959343831986189, 908983.3429699910338968 7011177.53635403513908386, 908981.78449711995199323 7011180.48783053737133741, 908973.3019519216613844 7011181.49021902866661549, 908972.54497938405256718 7011175.71720554307103157, 908944.93774566752836108 7011179.13274999149143696, 908944.74850253295153379 7011177.55491678044199944, 908944.57039134786464274 7011176.10702304262667894, 908944.24756482453085482 7011173.43398914113640785, 908926.57002968643791974 7011175.62439185287803411, 908924.73325808846857399 7011175.84714470896869898, 908927.39379391842521727 7011197.10150795336812735, 908926.97077985352370888 7011200.01586611196398735, 908925.46796672791242599 7011202.50328092183917761, 908921.01518709608353674 7011208.18349973950535059, 908922.49573632352985442 7011209.3343942454084754, 908923.66459097678307444 7011210.24397227633744478, 908910.81832173920702189 7011226.65352029912173748, 908905.57517372292932123 7011233.3547142157331109, 908901.86823467945214361 7011235.9535166984423995, 908896.53603107039816678 7011237.62417588662356138, 908896.14641285268589854 7011234.11579199880361557, 908894.59907193074468523 7011231.79543313384056091, 908891.47099423944018781 7011231.03435557521879673, 908888.52102773345541209 7011232.31519345752894878, 908887.70839545060880482 7011234.67267822660505772, 908888.0646178211318329 7011238.57088291179388762, 908883.86787301825825125 7011237.8654933525249362, 908879.82697550253942609 7011235.80501367524266243, 908856.77270895906258374 7011217.78047995362430811, 908852.53143635997548699 7011212.63857616111636162, 908850.249386798706837 7011206.88410292379558086, 908854.03424948558676988 7011206.32721863593906164, 908855.84875718562398106 7011204.89788248110562563, 908856.27177125064190477 7011202.42902971990406513, 908855.09178464824799448 7011200.05299170035868883, 908852.83199898502789438 7011199.14341483358293772, 908849.41449061769526452 7011199.57035906426608562, 908849.60373375215567648 7011194.39134145341813564, 908850.99522738705854863 7011190.06621462944895029, 908873.47063257801346481 7011161.3310968829318881, 908877.33341890876181424 7011159.15926079824566841, 908882.27600429998710752 7011158.56525444984436035, 908881.98657362372614443 7011156.2077921936288476, 908881.89751803106628358 7011155.50240992195904255, 908883.58957429125439376 7011155.29822032991796732, 908881.16280939208809286 7011135.43616672232747078, 908879.47075313189998269 7011135.64035580307245255, 908866.9695743159390986 7011137.18105543125420809, 908867.70428295515011996 7011143.15823028143495321, 908856.32743099611252546 7011157.6928077070042491, 908851.30692196113523096 7011164.11550298053771257, 908852.49804051278624684 7011164.98795042652636766, 908852.64275585068389773 7011167.58673061709851027, 908851.1844705215189606 7011169.46156542655080557, 908848.70204587664920837 7011169.83281989302486181, 908847.52205927425529808 7011168.94180919509381056, 908827.91869694553315639 7011194.00152305793017149, 908815.60676126379985362 7011195.50510839652270079, 908817.15410218597389758 7011208.5918816402554512, 908818.30069294106215239 7011217.44634892139583826, 908829.51056566380430013 7011216.03557360079139471, 908852.64275585068389773 7011234.13435487356036901, 908853.39972838829271495 7011233.05770827271044254, 908856.72818116284906864 7011232.74213946610689163, 908858.39797352475579828 7011234.20860636606812477, 908858.92117513134144247 7011237.19722961168736219, 908858.03061920520849526 7011238.34812830667942762, 908883.12203242990653962 7011257.98768321704119444, 908886.47274910274427384 7011284.73690910264849663, 908897.81620521482545882 7011283.34468486253172159, 908909.39343225723132491 7011281.91533489245921373, 908905.67536126461345702 7011254.94336341135203838, 908925.17853605165146291 7011229.95770939346402884, 908921.61631234618835151 7011227.13615457434207201, 908921.20443023042753339 7011224.61160637531429529, 908923.06346572667825967 7011222.29125027637928724, 908925.57928621862083673 7011222.14274750743061304, 908929.09698212752118707 7011224.92717485409229994, 908934.17315090773627162 7011218.44874206744134426)))",249740593,6267.22,educational
421,university,"MultiPolygon (((908974.86042479262687266 7011479.6321398476138711, 908991.09080655022989959 7011492.51518138870596886, 909010.54945354093797505 7011467.97430463880300522, 908994.33020373247563839 7011455.09130275994539261, 908974.86042479262687266 7011479.6321398476138711)))",186252889,648.93,educational
511,university,"MultiPolygon (((909124.3402370298281312 7011359.37904749251902103, 909137.14197847107425332 7011369.31034714542329311, 909135.08256789145525545 7011371.96488353982567787, 909143.2868143628584221 7011378.31349864695221186, 909145.33509299356956035 7011375.65896013751626015, 909164.49317735910881311 7011390.52809982653707266, 909174.72343856282532215 7011377.3482118109241128, 909134.57049823377747089 7011346.19921098556369543, 909124.3402370298281312 7011359.37904749251902103)))",340922202,882.58,educational
