,building,geometry,osm_id,area,category
51,apartments,"MultiPolygon (((909120.83367306995205581 7011627.43566287402063608, 909139.7579865048173815 7011629.60762656480073929, 909140.60401463485322893 7011622.2378034545108676, 909142.00664021878037602 7011610.00428341701626778, 909123.09345873282290995 7011607.81376132555305958, 909120.83367306995205581 7011627.43566287402063608)))",88453043,375.97,residential
52,apartments,"MultiPolygon (((909317.30144237086642534 7011579.46697466541081667, 909302.9523600076790899 7011567.79042978025972843, 909281.87958040053490549 7011593.64963724557310343, 909296.22866276383865625 7011605.34478375874459743, 909317.30144237086642534 7011579.46697466541081667)))",88453044,617.44,residential
53,apartments,"MultiPolygon (((909285.74236673093400896 7011618.50648503750562668, 909271.54913165501784533 7011607.57243265863507986, 909252.2129361042752862 7011632.68921708781272173, 909266.40617118019144982 7011643.62330392561852932, 909285.74236673093400896 7011618.50648503750562668)))",88453045,567.91,residential
454,apartments,"MultiPolygon (((909120.83367306995205581 7011627.43566287402063608, 909118.57388740696478635 7011647.13186807464808226, 909137.48706889257300645 7011649.3038371317088604, 909138.744979138369672 7011638.36974250432103872, 909139.7579865048173815 7011629.60762656480073929, 909120.83367306995205581 7011627.43566287402063608)))",248557907,377.52,residential
453,apartments,"MultiPolygon (((909391.39569544291589409 7011497.9728450383991003, 909346.6563920930493623 7011501.66698003746569157, 909348.83825411286670715 7011520.49038797896355391, 909384.98369277326855808 7011517.37171376962214708, 909384.01521320350002497 7011507.57017419300973415, 909391.39569544291589409 7011497.9728450383991003)))",248557906,724.88,residential
452,apartments,"MultiPolygon (((909308.50720259826630354 7011525.7624352527782321, 909300.57012290484271944 7011516.4806642197072506, 909297.68694809312000871 7011506.40067311935126781, 909280.14299634413328022 7011528.62122290395200253, 909296.85205191234126687 7011541.52290722634643316, 909308.50720259826630354 7011525.7624352527782321)))",248557905,470.29,residential
451,apartments,"MultiPolygon (((909251.46709551580715925 7011557.84031918086111546, 909259.9719046123791486 7011564.65317341405898333, 909270.70310352486558259 7011573.24814497493207455, 909283.80540759139694273 7011556.91213785670697689, 909264.56939958233851939 7011541.48578004725277424, 909251.46709551580715925 7011557.84031918086111546)))",248557904,516.42,residential
450,apartments,"MultiPolygon (((909147.6060106058139354 7011688.9934272114187479, 909167.23163683258462697 7011704.99555358197540045, 909178.40811370802111924 7011691.29535524640232325, 909167.34295632329303771 7011682.27328627556562424, 909158.78248748125042766 7011675.29325638059526682, 909147.6060106058139354 7011688.9934272114187479)))",248557903,447.72,residential
449,apartments,"MultiPolygon (((909205.10252760036382824 7011547.33331288769841194, 909214.38657313247676939 7011543.88048345502465963, 909223.44797968328930438 7011540.50190986786037683, 909216.71315049019176513 7011522.38386934157460928, 909198.35656645847484469 7011529.23382039926946163, 909205.10252760036382824 7011547.33331288769841194)))",248557902,378.46,residential
448,apartments,"MultiPolygon (((909163.48016999289393425 7011582.80843739863485098, 909170.51556181104388088 7011574.02781887538731098, 909178.80886387510690838 7011563.6693003736436367, 909162.64527381176594645 7011550.73045298550277948, 909147.31657992955297232 7011569.86955893505364656, 909163.48016999289393425 7011582.80843739863485098)))",248557901,507.72,residential
104,apartments,"MultiPolygon (((909674.93757044256199151 7011200.96256867051124573, 909651.83877610287163407 7011206.19727897644042969, 909661.1339535842416808 7011247.23975444864481688, 909684.22161597467493266 7011242.00501719210296869, 909674.93757044256199151 7011200.96256867051124573)))",98638994,996.43,residential
174,apartments,"MultiPolygon (((909769.25857499160338193 7011144.97737134248018265, 909746.17091260105371475 7011150.21204487886279821, 909755.45495813339948654 7011191.25423206575214863, 909778.55375247285701334 7011186.01953157410025597, 909769.25857499160338193 7011144.97737134248018265)))",98639094,996.42,residential
166,apartments,"MultiPolygon (((909822.17986091470811516 7011134.74934892822057009, 909799.08106657513417304 7011139.98401574697345495, 909808.37624405638780445 7011181.02615026570856571, 909831.46390644705388695 7011175.79145649261772633, 909822.17986091470811516 7011134.74934892822057009)))",98639085,996.42,residential
161,apartments,"MultiPolygon (((909715.32428170240018517 7011154.44433663226664066, 909692.2254873625934124 7011159.66045368649065495, 909701.52066484396345913 7011200.70268952660262585, 909724.60832723451312631 7011195.48654561303555965, 909715.32428170240018517 7011154.44433663226664066)))",98639077,996.25,residential
515,apartments,"MultiPolygon (((908987.06104098376818001 7011578.68730022665113211, 909016.03750443714670837 7011571.0576329855248332, 909013.13206572737544775 7011560.03082753717899323, 909006.68666721053887159 7011561.72011828795075417, 909005.72931958956178278 7011558.08164633717387915, 909002.94633231987245381 7011558.82419150229543447, 909002.06690834264736623 7011555.48273882456123829, 908990.54534104559570551 7011558.5271734306588769, 908991.6362720550969243 7011562.66686381679028273, 908988.15197199326939881 7011563.57648217026144266, 908989.14271546143572778 7011567.34490217361599207, 908984.40050515369512141 7011568.58866679947823286, 908987.06104098376818001 7011578.68730022665113211)))",469001952,444.3,residential
413,bikeshed,"MultiPolygon (((909179.87753098679240793 7011582.97551057208329439, 909185.36558188265189528 7011590.53093440923839808, 909192.70153632608707994 7011585.22171691060066223, 909187.202353480970487 7011577.64773443434387445, 909179.87753098679240793 7011582.97551057208329439)))",165585676,84.67,residential
412,bikeshed,"MultiPolygon (((909190.06326439429540187 7011676.90831595007330179, 909196.02998910075984895 7011669.85403519496321678, 909189.41761134762782604 7011664.26630672067403793, 909183.45088664093054831 7011671.32058252394199371, 909190.06326439429540187 7011676.90831595007330179)))",165585675,79.99,residential
411,bikeshed,"MultiPolygon (((909249.45221273240167648 7011588.3589813681319356, 909256.92175056471023709 7011593.44543643295764923, 909262.23169027559924871 7011585.68580920808017254, 909254.7621524432906881 7011580.5807954203337431, 909249.45221273240167648 7011588.3589813681319356)))",165585674,85.09,residential
410,bikeshed,"MultiPolygon (((909164.86053167865611613 7011604.32377821952104568, 909174.02212577103637159 7011608.64912984985858202, 909177.64000922185368836 7011600.96374273858964443, 909168.48954707861412317 7011596.63839527871459723, 909164.86053167865611613 7011604.32377821952104568)))",165585673,86.04,residential
361,garage,"MultiPolygon (((908428.89398219715803862 7013456.56867171078920364, 908422.82706994889304042 7013461.34066219627857208, 908425.6657169641694054 7013464.94286702387034893, 908431.73262921231798828 7013460.18944243993610144, 908428.89398219715803862 7013456.56867171078920364)))",116888354,35.43,residential
442,garage,"MultiPolygon (((908452.57163788890466094 7012454.34687919914722443, 908465.59601831168401986 7012454.10552489850670099, 908465.47356687171850353 7012447.57039579097181559, 908452.46031839796341956 7012447.81174989324063063, 908452.57163788890466094 7012454.34687919914722443)))",238787321,85.11,residential
535,garage,"MultiPolygon (((908497.26641344220843166 7013409.98156838025897741, 908489.99725069350097328 7013415.57052096258848906, 908493.74871753319166601 7013420.45389469899237156, 908501.01788028189912438 7013414.88350664637982845, 908497.26641344220843166 7013409.98156838025897741)))",687852069,56.5,residential
533,garage,"MultiPolygon (((908391.30139015603344887 7013423.66615358274430037, 908396.58906596887391061 7013430.98193875607103109, 908405.5614169267937541 7013424.52028043940663338, 908400.28487306332681328 7013417.18593323323875666, 908391.30139015603344887 7013423.66615358274430037)))",687852067,99.94,residential
532,garage,"MultiPolygon (((908402.27749194856733084 7013359.04986548610031605, 908408.33327224769163877 7013367.92529010772705078, 908415.47998355666641146 7013363.04194855969399214, 908409.43533520656637847 7013354.18509718868881464, 908402.27749194856733084 7013359.04986548610031605)))",687852066,92.9,residential
534,garage,"MultiPolygon (((908473.93384817207697779 7013370.11629603430628777, 908464.04867738962639123 7013376.76358888577669859, 908468.71296405396424234 7013383.70797337591648102, 908478.59813483618199825 7013377.06067473255097866, 908473.93384817207697779 7013370.11629603430628777)))",687852068,99.65,residential
522,house,"MultiPolygon (((910111.61053697729948908 7010783.58901964500546455, 910130.41239897231571376 7010780.34070103708654642, 910129.13222482812125236 7010772.91597776487469673, 910140.43115314352326095 7010770.96698905155062675, 910135.97837351204361767 7010745.25894444063305855, 910122.09683300997130573 7010747.65340863261371851, 910124.26756308053154498 7010760.20115522481501102, 910108.04831327183637768 7010763.0039829770103097, 910111.61053697729948908 7010783.58901964500546455)))",607068709,731.22,residential
