,osm_id,osm_way_id,highway,area,geometry
0,NULL,183553135,pedestrian,1678.26,"MultiPolygon (((910357.48189629230182618 7013335.69157763104885817, 910346.85088492161594331 7013328.71009947638958693, 910329.51844020513817668 7013332.40508315898478031, 910294.17450187832582742 7013442.53123765531927347, 910300.8648032748606056 7013431.24189063627272844, 910323.94133371638599783 7013392.30490694101899862, 910357.48189629230182618 7013335.69157763104885817)))"
1,NULL,183553140,pedestrian,1949.7,"MultiPolygon (((910304.39363113313447684 7013262.12641569692641497, 910349.17746227909810841 7013289.64364310726523399, 910361.34468262281734496 7013269.85054011363536119, 910354.60985342995263636 7013265.87707132939249277, 910348.18671881128102541 7013259.76833112724125385, 910344.71355069847777486 7013253.73386592231690884, 910343.38884875783696771 7013247.21664862986654043, 910345.73769001360051334 7013242.72329964395612478, 910350.52442811778746545 7013239.65965405851602554, 910355.83436782867647707 7013238.63843912351876497, 910366.36519165767822415 7013241.1636253809556365, 910328.34958555176854134 7013218.15846545621752739, 910324.94320913346018642 7013231.47137072682380676, 910319.62213747366331518 7013242.76043474860489368, 910312.45316226640716195 7013254.12378507014364004, 910304.39363113313447684 7013262.12641569692641497)))"
2,NULL,183553143,pedestrian,4345.5,"MultiPolygon (((910345.96032899525016546 7013192.46109334379434586, 910399.74990694643929601 7013225.52976451069116592, 910402.32138718373607844 7013220.68364521861076355, 910418.01743538572918624 7013230.80293980799615383, 910415.41255930124316365 7013235.14774179551750422, 910428.75976624723989516 7013243.3545964565128088, 910438.75625652063172311 7013226.94089558906853199, 910453.9847628609277308 7013236.20609135553240776, 910455.76587471377570182 7013233.21671840082854033, 910465.19463558401912451 7013217.41576567944139242, 910367.68989359820261598 7013156.47748465649783611, 910365.73067056015133858 7013159.72677185479551554, 910356.36870138440281153 7013175.23053186573088169, 910345.96032899525016546 7013192.46109334379434586)))"
3,NULL,235607276,pedestrian,15223.13,"MultiPolygon (((909987.32232550659682602 7012261.69277423992753029, 910025.23774407082237303 7012251.59327534772455692, 910030.83711445762310177 7012250.10805600229650736, 910033.30840715323574841 7012249.45827262569218874, 910039.27513185981661081 7012249.71818596683442593, 910073.90662544558290392 7012251.24053572677075863, 910074.20718807063531131 7012269.15601509809494019, 910075.26472323329653591 7012271.14250078238546848, 910078.4818565173773095 7012277.17622201796621084, 910086.45233205787371844 7012292.15843573771417141, 910105.26532600214704871 7012298.41495711728930473, 910090.03681966150179505 7012332.16683964524418116, 910010.48791154066566378 7012503.36051980033516884, 909997.68617009941954166 7012497.64224619884043932, 909996.57297519152052701 7012499.90727616380900145, 909993.58961283811368048 7012505.94117059651762247, 910007.92756325239315629 7012512.51347927004098892, 909988.51344405801501125 7012554.89943065587431192, 909995.49317613081075251 7012563.7739597475156188, 910002.67328328709118068 7012572.90842260979115963, 910088.54513848491478711 7012384.41013439930975437, 910206.53266677667852491 7012435.37274017557501793, 910210.58469624153804034 7012426.01564714778214693, 910214.55880206299480051 7012416.89991827867925167, 910093.32074463996104896 7012363.80239727348089218, 910137.21401985990814865 7012275.13403893541544676, 910141.98962601460516453 7012256.03036979120224714, 910139.59625696262810379 7012244.6684425100684166, 910133.62953225604724139 7012234.82887805532664061, 910151.84140094998292625 7012191.83198042120784521, 910140.79850746318697929 7012187.35779153369367123, 910129.74448202748317271 7012182.8650400685146451, 910110.93148808355908841 7012227.66271234024316072, 910096.90523224347271025 7012228.25679837353527546, 910082.56728182930964977 7012235.42296461947262287, 910024.34718814445659518 7012237.81787653733044863, 909980.45391292474232614 7012251.53757961932569742, 909957.68907705752644688 7012269.47162493783980608, 909965.90445547795388848 7012274.53994940780103207, 909973.54097254644148052 7012278.80996886547654867, 909987.32232550659682602 7012261.69277423992753029)))"
4,NULL,235607430,pedestrian,1294.24,"MultiPolygon (((910035.39008163113612682 7012281.40911226253956556, 910033.30840715323574841 7012293.04957201331853867, 910021.66438841633498669 7012309.46134957950562239, 910026.76282109471503645 7012313.24868766218423843, 910028.78883582714479417 7012315.82927689794450998, 910041.06737566168885678 7012301.10693369992077351, 910052.60007490764837712 7012302.72212008945643902, 910057.78756317868828773 7012297.22677464038133621, 910060.47036290692631155 7012287.36857996508479118, 910078.4818565173773095 7012277.17622201796621084, 910075.26472323329653591 7012271.14250078238546848, 910074.20718807063531131 7012269.15601509809494019, 910056.59644462738651782 7012279.01418724469840527, 910045.84298181661870331 7012276.9163077799603343, 910039.27513185981661081 7012249.71818596683442593, 910033.30840715323574841 7012249.45827262569218874, 910030.83711445762310177 7012250.10805600229650736, 910025.23774407082237303 7012251.59327534772455692, 910035.39008163113612682 7012281.40911226253956556)))"
5,NULL,239222204,pedestrian,976.27,"MultiPolygon (((909829.38223196915350854 7011487.46591767203062773, 909823.5268267533974722 7011458.15426241420209408, 909854.81873561523389071 7011451.91696399915963411, 909852.09140809101518244 7011438.23576402477920055, 909823.66041014227084816 7011445.4197833351790905, 909817.98311611183453351 7011450.48758379649370909, 909812.01639140537008643 7011460.93877221364527941, 909809.32245972822420299 7011472.28101884201169014, 909808.43190380185842514 7011480.95014458149671555, 909810.01264057098887861 7011486.18503878079354763, 909817.68255348666571081 7011489.8977317800745368, 909829.38223196915350854 7011487.46591767203062773)))"
